NumID,PlayerID,birthYear,birthMonth,birthDay,Nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,debutYear,debutTeam,Name,Position,SigningBonus,Salary,DraftOrder,DebutYearTeam
3068,94490,1955,5,8,Korea,Ha,Gi-Ryong,Ha Gi-Ryong,198,70,R,R,,,하기룡,,,,,
3069,94495,1957,3,14,Korea,Lee,Cheol-Seong,Lee Cheol-Seong,159,67,R,R,1986,Chungbo,이철성,,,,,86청보
3070,94511,1969,6,17,Korea,Lim,Su-Hyeok,Lim Su-Hyeok,198,73,R,R,,,임수혁,Catcher,,,,
3071,94518,1967,7,10,Japan,Hong,Soon-Ki,Hong Soon-Ki,0,0,R,R,,,홍순기,Infielder,,,,
3072,94526,1971,6,22,Korea,Kang,Sang-Su,Kang Sang-Su,220,72,R,R,1994,Lotte,강상수,,,,,94롯데
3073,94528,1976,3,1,Korea,Ju,Hyeong-Gwang,Ju Hyeong-Gwang,203,73,L,L,1994,Lotte,주형광,,,,,94롯데
3074,94532,1968,5,30,Korea,Kang,Jin-Gyu,Kang Jin-Gyu,187,71,R,R,1991,LG,강진규,,,,,91LG
3075,94539,1972,1,29,Korea,Kim,Jong-Hun,Kim Jong-Hun,176,72,R,R,1994,Lotte,김종훈,,,,94 롯데 2차,94롯데
3076,94541,1974,1,16,Korea,Park,Tae-Ung,Park Tae-Ung,0,0,R,R,,,박태웅,Pitcher,,,,
3077,94545,1975,4,13,Korea,Park,Ji-Cheol,Park Ji-Cheol,152,71,R,R,,,박지철,Pitcher,,,,
3078,94549,1975,7,25,Korea,Yoon,Min-Cheol,Yoon Min-Cheol,0,0,R,R,,,윤민철,Pitcher,,,,
3079,94558,1971,7,5,Korea,Son,Dong-Il,Son Dong-Il,172,69,R,R,,,손동일,Outfielder,,,,
3080,94562,1973,5,22,Korea,Han,Seong-Gon,Han Seong-Gon,0,0,R,R,,,한성곤,Infielder,,,94 롯데 2차 4라운드 28순위,
3081,94602,1972,11,24,Korea,Yoo,Jin-U,Yoo Jin-U,0,0,R,R,,,유진우,Infielder,,,,
3082,94604,1969,9,7,Japan,Jeon,Sung-Chul,Jeon Sung-Chul,0,0,R,R,,,전성철,Infielder,,,,
3083,94629,1976,2,8,Korea,Lee,Ho-Jun,Lee Ho-Jun,209,74,R,R,1994,Haitai,이호준,,,,94 해태 고졸신인,94해태
3084,94641,1971,8,5,Korea,Choi,Jae-Yeong,Choi Jae-Yeong,0,0,R,R,,,최재영,Pitcher,,,,
3085,94663,1972,12,16,Korea,Bae,Hun,Bae Hun,0,0,L,L,,,배훈,Outfielder,,,,
3086,94706,1971,10,30,Korea,Jeon,Hyeong-Do,Jeon Hyeong-Do,183,70,R,R,1994,Hanwha,전형도,,,,94 한화 2차,94한화
3087,94724,1971,11,15,Korea,Jung,Jin-Sik,Jung Jin-Sik,181,71,R,R,1994,Hanwha,정진식,,,,,94한화
3088,94727,1971,10,19,Korea,Gil,Bae-Jin,Gil Bae-Jin,187,72,R,R,,,길배진,Pitcher,,,,
3089,94737,1971,6,14,Korea,Choi,Ho-Won,Choi Ho-Won,172,72,R,R,,,최호원,Pitcher,,,,
3090,94742,1975,3,26,Korea,Lee,Yo-Han,Lee Yo-Han,0,0,R,R,,,이요한,Catcher,,,,
