playerID,yearID,lgID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
51393,2022,KBO,Kiwoom,1,12,0,0,0,1,0,0,0,61,42,9,0,13,2,6,3,3,2.03
51393,2023,KBO,Kiwoom,1,8,0,0,0,0,0,0,-,36,28,4,0,6,3,5,6,6,7.04
51439,2021,KBO,Samsung,1,11,0,0,2,5,0,0,0.286,244,156,46,3,38,4,55,33,31,5.37
51454,2021,KBO,Samsung,1,41,0,0,1,4,0,7,0.2,174,120,35,3,23,3,46,24,23,5.26
51454,2022,KBO,Samsung,1,58,0,0,2,4,1,14,0.333,212,148,43,5,21,3,57,28,24,4.53
51454,2023,KBO,Samsung,1,48,0,0,1,5,5,7,0.167,199,132,41,6,29,2,37,26,24,4.98
51454,2024,KBO,Samsung,1,17,0,0,6,4,0,0,0.6,384,264,88,9,37,6,68,44,41,4.23
51454,2025,KBO,Samsung,1,7,0,0,1,5,0,0,0.167,145,97,38,4,15,2,19,22,21,6.16
51460,2021,KBO,Samsung,1,5,0,0,0,1,0,0,0,95,70,24,2,10,0,17,13,13,5.4
51460,2023,KBO,Samsung,1,2,0,0,0,0,0,0,-,33,24,4,1,5,0,5,3,3,3.38
51460,2025,KBO,Samsung,1,11,0,0,0,2,0,4,0,39,27,7,0,5,0,9,3,3,3
51516,2021,KBO,Lotte,1,39,0,0,4,6,0,8,0.4,227,142,42,3,49,3,45,32,32,6.31
51516,2022,KBO,Lotte,1,14,0,0,2,5,0,0,0.286,227,145,43,3,35,8,52,36,33,6.36
51516,2023,KBO,Lotte,1,50,0,0,2,1,0,8,0.667,177,111,37,4,29,2,35,27,26,6.44
51516,2024,KBO,Lotte,1,19,0,0,4,3,0,0,0.571,388,259,89,13,44,3,87,54,50,5.31
51516,2025,KBO,Lotte,1,5,0,0,1,3,0,0,0.25,92,64,23,5,13,1,17,20,19,8.69
51526,2023,KBO,Lotte,1,3,0,0,0,0,0,0,-,29,18,6,0,4,1,5,5,4,6
51526,2024,KBO,LG,1,14,0,0,1,0,0,0,1,57,40,11,0,8,6,10,6,4,3.09
51526,2025,KBO,LG,1,9,0,0,0,0,0,0,-,38,24,12,0,4,1,5,4,4,4.5
51546,2021,KBO,Lotte,1,6,0,0,0,0,0,0,-,29,22,6,1,5,2,4,6,6,9.53
51546,2024,KBO,Lotte,1,8,0,0,0,0,0,0,-,40,27,10,2,7,0,5,4,4,4.32
51546,2025,KBO,Lotte,1,2,0,0,0,0,0,0,-,7,6,2,0,0,1,2,0,0,0
51567,2021,KBO,Lotte,1,37,0,0,9,8,0,1,0.529,677,450,147,20,75,20,124,97,90,5.4
51586,2021,KBO,Lotte,1,6,0,0,0,0,0,0,-,41,24,13,1,6,0,6,10,10,11.25
51586,2022,KBO,Lotte,1,1,0,0,0,0,0,0,-,8,10,3,0,0,0,2,1,1,5.4
51586,2023,KBO,Lotte,1,3,0,0,0,0,0,0,-,17,15,5,0,1,0,1,1,1,2.08
51594,2021,KBO,Lotte,1,19,0,0,0,2,0,1,0,79,49,24,3,12,1,13,23,22,13.5
51594,2024,KBO,Lotte,1,19,0,0,0,1,1,3,0,40,27,9,2,5,1,9,10,10,10.8
51594,2025,KBO,Lotte,1,25,0,0,0,0,0,3,-,48,36,5,1,10,0,14,4,4,3.18
51619,2021,KBO,KIA,1,21,0,0,8,3,0,0,0.727,502,360,109,12,35,8,104,53,48,3.6
51636,2021,KBO,KIA,1,7,0,0,1,3,0,0,0.25,168,115,46,4,12,4,46,22,20,4.91
51645,2021,KBO,KIA,1,3,0,0,0,0,0,0,-,11,9,2,0,1,1,3,0,0,0
51648,2021,KBO,KIA,1,19,0,0,4,5,0,0,0.444,404,289,69,6,56,2,93,42,38,3.61
51648,2022,KBO,KIA,1,29,0,0,10,10,0,0,0.5,671,462,128,18,74,9,161,79,66,3.86
51648,2023,KBO,KIA,1,28,0,0,11,7,0,0,0.611,598,400,103,4,93,8,156,64,58,3.96
51648,2024,KBO,KIA,1,4,0,0,1,0,0,0,1,69,42,17,3,14,0,14,10,8,5.4
51665,2021,KBO,KIA,1,21,0,0,2,1,0,2,0.667,114,72,13,1,29,4,22,11,9,3.47
51668,2021,KBO,KIA,1,25,0,0,2,1,0,5,0.667,118,72,26,5,18,3,17,20,20,7.5
51668,2022,KBO,KIA,1,1,0,0,0,0,0,0,-,4,3,0,0,0,1,1,0,0,0
51713,2022,KBO,Hanwha,1,12,0,0,0,0,0,1,-,70,46,16,2,12,0,11,11,8,5.27
