ID,npbjpID,playerID,birthYear,birthMonth,birthDay,birthPlace,nameLast,nameFirst,height,weight,bats,throws,Position
4750,,104750,1977,10,13,Japan,Yoshitoshi,Takinori,73,170,,,Pitcher
4751,,104751,1977,12,11,Japan,Amano (Yong-Gang Kim),Yugo,74,181,,,Third baseman
4752,,104752,1978,3,20,Japan,Ota,Atsushi,73,172,,,Pitcher
4753,,104753,1978,6,1,Japan,Tamano,Hiromasa,72,172,,,Second baseman
4754,,104754,1978,6,13,Japan,Koyama,Shinichiro,71,198,,,Pitcher
4755,,104755,1978,9,1,Japan,Yamazaki,Takahiro,71,176,,,Pitcher
4756,,104756,1979,5,28,Japan,Igarashi,Ryota,70,209,,,Pitcher
4757,,104757,1979,6,12,Japan,Tanaka,Yuki,71,183,,,Pitcher
4758,,104758,1979,6,29,Japan,Taniguchi,Kuniyuki,72,161,,,Pitcher
4759,,104759,1979,7,13,Japan,Igawa,Kei,73,205,,,Pitcher
4760,,104760,1979,8,10,Japan,Hyodo,Hideharu,70,165,,,Second baseman
4761,,104761,1979,8,25,Japan,Kawaguchi,Tomoya,72,190,,,Pitcher
4762,,104762,1980,5,21,Japan,Fujisaki,Hironori,72,165,,,Pitcher
4763,,104763,1980,5,23,Japan,Takahashi,Kazumasa,71,154,,,Pitcher
4764,,104764,1980,7,25,Japan,Teramoto,Shiro,69,170,,,Pitcher
4765,,104765,1980,8,21,Japan,Higashide,Akihiro,67,165,,,Second baseman
4766,,104766,1980,9,1,Japan,Akada,Shogo,70,192,,,Center fielder
4767,,104767,1980,9,13,Japan,Matsuzaka,Daisuke,72,203,,,Pitcher
4768,,104768,1980,11,10,Japan,Furuki,Katsuaki,72,187,,,Left fielder
4769,,104769,1962,6,30,Dominican Republic,Fernandez,Tony,74,165,,,Third baseman
4770,,104770,1965,7,25,United States,Lovullo,Torey,73,185,,,Second baseman
4771,,104771,1966,11,2,Puerto Rico,Merced,Orlando,72,181,,,Designated hitter
4772,,104772,1967,6,2,United States,Lemon,Don,76,185,,,Pitcher
4773,,104773,1967,10,29,Mexico,Elvira,Narciso,70,161,,,Pitcher
4774,,104774,1968,9,25,United States,Jefferson,Reggie,76,209,,,Designated hitter
4775,,104775,1968,11,28,United States,Burrows,Terry,73,185,,,Pitcher
4776,,104776,1969,4,17,United States,Ball,Jeff,70,185,,,First baseman
4777,,104777,1969,9,22,United States,Barry,Jeff,73,190,,,Left fielder
4778,,104778,1969,12,14,Australia,(Dave Nilsson),Dingo,75,185,,,Left fielder
4779,,104779,1970,1,26,United States,Carlson,Dan,73,185,,,Pitcher
4780,,104780,1970,8,13,United States,Gaillard,Eddie,73,181,,,Pitcher
4781,,104781,1970,9,28,United States,Banks,Brian,75,201,,,First baseman
4782,,104782,1970,12,9,United States,Tarasco,Tony,72,185,,,Right fielder
4783,,104783,1970,12,12,Mexico,Diaz,Ralph,73,179,,,Pitcher
4784,,104784,1971,3,12,United States,Hansell,Greg,77,214,,,Pitcher
4785,,104785,1971,4,6,United States,Merloni,Lou,70,187,,,Third baseman
4786,,104786,1971,4,13,United States,Ohme,Kevin,73,181,,,Pitcher
4787,,104787,1971,6,25,United States,Roberts,Chris,72,190,,,Pitcher
4788,,104788,1971,8,5,Venezuela,Pulido,Carlos,72,194,,,Pitcher
4789,,104789,1971,9,15,United States,Hardtke,Jason,70,174,,,Third baseman
4790,,104790,1971,11,4,United States,Bunch,Melvin,73,165,,,Pitcher
4791,,104791,1971,11,9,United States,Nunnally,Jon,70,190,,,Center fielder
